numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000001901,45210,DEPUTADO CHARLES SANTOS,26062,2020-06-04 14:00:00,"Agradece a aprovação do projeto de lei de sua autoria que dispõe sobre a
destinação dos insumos e equipamentos de saúde adquiridos pelo Estado
enquanto perdurar a pandemia de Covid-19, causada pelo coronavírus.
Parabeniza os deputados autores dos projetos da pauta.",19,2020-06-04 14:00:00
000001902,45211,DEPUTADO RAUL BELÉM,26114,2020-06-04 14:00:00,"Parabeniza os autores dos projetos da pauta, ressaltando o projeto de
lei que assegura aos internados o direito de receber visitas, o que
permitirá ao paciente de Covid-19, causada pelo coronavírus, receber
visitas por meio remoto.",19,2020-06-04 14:00:00
000001903,45212,DEPUTADO CARLOS HENRIQUE,10002,2020-06-04 14:00:00,"Informa sobre o plano de desenvolvimento econômico do Vale do
Jequitinhonha desenvolvido por técnicos da Fundação João Pinheiro - FJP
-, em parceria com a Companhia Energética de Minas Gerais - Cemig.
Ressalta que é com base nesses estudos que se deve de discutir o
desenvolvimento da região. Lamenta a falta de interesse de governos
anteriores pelo Vale. Lamenta anúncio do governador Romeu Zema sobre a
instalação de uma fábrica de baterias de lítio no Município de Juiz de
Fora, defendendo que a fábrica seja instalada na região do Vale do
Jequitinhonha.",19,2020-06-04 14:00:00
000001928,45186,MARCELO ARO,,2020-06-03 14:00:00,"Informa sobre o Projeto de Lei Federal nº 1.013/2020, que suspende o
pagamento do parcelamento de dívidas no âmbito do Programa de
Modernização da Gestão e de Responsabilidade Fiscal do Futebol
Brasileiro - Profut - durante período de emergência de saúde pública de
importância internacional relacionada ao coronavírus (Covid-19).",19,2020-06-03 14:00:00
000001929,45187,ADRIANO GUILHERME DE ARO FERREIRA,,2020-06-03 14:00:00,"Elogia o Projeto de Lei Federal nº 1.013/2020, que suspende o pagamento
do parcelamento de dívidas no âmbito do Programa de Modernização da
Gestão e de Responsabilidade Fiscal do Futebol Brasileiro - Profut -
durante período de emergência de saúde pública de importância
internacional relacionada ao coronavírus (Covid-19). Comenta os impactos
da pandemia no futebol e o trabalho da Federação Mineira de Futebol -
FMF - no planejamento de protocolos para retorno das competições.",19,2020-06-03 14:00:00
000001930,45188,CARLOS ERNESTO FERREIRA STARLING,,2020-06-03 14:00:00,"Comenta, em reunião destinada a debater os impactos da pandemia da
Covid- 19 no esporte e o planejamento de protocolos para retorno das
competições esportivas, que a pandemia está em franca ascensão no
Brasil, em uma fase totalmente diferente da Europa, onde a pandemia já
está perdendo força. Ressalta que, do ponto de vista epidemiológico, não
é momento para a flexibilização, seja da economia, seja de atividades em
que se tem um grande aglomerado de pessoas, como as competições
esportivas.",19,2020-06-03 14:00:00
000001931,45189,CIMAR EUSTÁQUIO MARQUES DA SILVA,,2020-06-03 14:00:00,"Informa sobre os protocolos adotados pelo América Futebol Clube durante
a pandemia da Covid-19, causada pelo coronavírus, em reunião destinada a
debater os impactos da pandemia no esporte e o planejamento de
protocolos para retorno das competições esportivas.",19,2020-06-03 14:00:00
000001932,45190,DANIEL SOARES BAUMFELD,,2020-06-03 14:00:00,"Informa sobre os protocolos adotados pelo Cruzeiro Esporte Clube durante
a pandemia da Covid-19, causada pelo coronavírus, em reunião destinada a
debater os impactos da pandemia no esporte e o planejamento de
protocolos para retorno das competições esportivas.",19,2020-06-03 14:00:00
000001933,45191,RODRIGO CAMPOS PACE LASMAR,,2020-06-03 14:00:00,"Informa sobre os protocolos adotados pelo Clube Atlético Mineiro durante
a pandemia da Covid-19, causada pelo coronavírus, em reunião destinada a
debater os impactos da pandemia no esporte e o planejamento de
protocolos para retorno das competições esportivas.",19,2020-06-03 14:00:00
000001934,45192,DEPUTADO ZÉ GUILHERME,26105,2020-06-03 14:00:00,"Comenta os impactos da pandemia da Covid-19, causada pelo coronavírus,
no esporte e o planejamento de protocolos para retorno das competições
esportivas. Ressalta que, além dos protocolos, é necessário trabalhar o
lado social. Manifesta preocupação com as categorias de base e com o
esporte amador, pois deverão ter um retorno mais demorado que no caso
dos clubes maiores.",19,2020-06-03 14:00:00
000001935,45193,DEPUTADO CRISTIANO SILVEIRA,22523,2020-06-03 14:00:00,"Coordena o debate com o Sr. Marcelo Aro (deputado federal), o Sr.
Adriano Guilherme de Aro Ferreira (presidente da Federação Mineira de
Futebol - FMF), o Sr. Carlos Ernesto Ferreira Starling (infectologista,
epidemiologista e membro do comitê de combate ao coronavírus da
Prefeitura Municipal de Belo Horizonte), Cimar Eustáquio Marques da
Silva (médico do América Futebol Clube), Daniel Soares Baumfeld (médico
do Cruzeiro Esporte Clube) e Rodrigo Campos Pace Lasmar (médico do Clube
Atlético Mineiro), sobre os impactos da pandemia da Covid-19, causada
pelo coronavírus, no esporte e o planejamento de protocolos para retorno
das competições esportivas.",19,2020-06-03 14:00:00
000001904,45137,DEPUTADO SARGENTO RODRIGUES,9673,2020-06-03 09:00:00,"Apresenta questionamentos quanto à forma como a Assembleia Legislativa
tem trabalhado durante a pandemia da Covid-19, causada pelo coronavírus.
Ressalta que o protagonismo do Parlamento mineiro está nas mãos dos
líderes e do presidente, e solicita discussão da Mesa para democratizar
e permitir que os deputados possam voltar a ter o seu protagonismo de
direito, que o mandato lhes conferiu.",19,2020-06-03 09:00:00
