numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000000614,46487,DEPUTADO CLEITINHO AZEVEDO,26101,2021-06-01 14:00:00,"Solicita celeridade na aprovação do projeto de lei que trata do acordo
celebrado entre a Vale e o governo de Minas para reparação de danos do
rompimento da barragem da mineradora no Município de Brumadinho. Defende
que o projeto seja aprovado em etapas, aprovando de maneira mais ágil a
destinação para áreas como a saúde.",19,2021-06-01 14:00:00
000000615,46488,DEPUTADO BARTÔ,26144,2021-06-01 14:00:00,"Lamenta denúncias de que alguns médicos estariam prescrevendo
medicamentos de maneira que pessoas sem comorbidades possam ""furar"" a
fila da vacinação contra a Covid-19.",19,2021-06-01 14:00:00
000000616,46489,DEPUTADA ANA PAULA SIQUEIRA,19150,2021-06-01 14:00:00,Transcurso do Dia Municipal do Quadrilheiro Junino.,19,2021-06-01 14:00:00
000000598,46471,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2021-06-01 10:00:00,"Manifesta posição favorável à proposta de Emenda à Constituição - PEC -
de sua autoria que altera o art. 46 da Constituição do Estado,
estabelecendo a competência do Conselho Deliberativo de Desenvolvimento
Metropolitano para autorizar a instituição de praça de pedágio em
município pertencente à região metropolitana. Manifesta indignação com a
publicidade que está sendo feita pelo governo do Estado, com a
divulgação das obras que serão realizadas por meio do acordo celebrado
entre a Vale e o governo de Minas para reparação de danos do rompimento
da barragem da mineradora no Município de Brumadinho.",19,2021-06-01 10:00:00
000000599,46472,DEPUTADO JOÃO LEITE,7766,2021-06-01 10:00:00,"Solicita apoio à proposta de Emenda à Constituição - PEC - de sua
autoria que altera o art. 46 da Constituição do Estado, estabelecendo a
competência do Conselho Deliberativo de Desenvolvimento Metropolitano
para autorizar a instituição de praça de pedágio em município
pertencente à região metropolitana.",19,2021-06-01 10:00:00
000000600,46473,DEPUTADA ANA PAULA SIQUEIRA,19150,2021-06-01 10:00:00,"Solicita apoio ao projeto de lei de sua autoria que dispõe sobre o
direito de a pessoa com deficiência efetuar compra de ingressos pela
internet.",19,2021-06-01 10:00:00
000000601,46474,DEPUTADO CORONEL HENRIQUE,26149,2021-06-01 10:00:00,"Solicita apoio ao projeto de lei de sua autoria que dispõe sobre a
proteção integral aos direitos do estudante atleta.",19,2021-06-01 10:00:00
000000602,46475,DEPUTADA BEATRIZ CERQUEIRA,26098,2021-06-01 10:00:00,"Manifesta posição favorável ao projeto de lei que dispõe sobre a
proteção integral aos direitos do estudante atleta, e também à Emenda nº
1. Manifesta posição contrária à Emenda nº 2.",19,2021-06-01 10:00:00
000000603,46476,DEPUTADO ANDRÉ QUINTÃO,12195,2021-06-01 10:00:00,"Manifesta posição favorável ao projeto de lei que dispõe sobre a
proteção integral aos direitos do estudante atleta, e também à Emenda nº
1. Manifesta posição contrária à Emenda nº 2.",19,2021-06-01 10:00:00
000000604,46477,DEPUTADO CÁSSIO SOARES,18848,2021-06-01 10:00:00,"Manifesta posição favorável ao projeto de lei que dispõe sobre a
proteção integral aos direitos do estudante atleta. Manifesta posição
contrária à Emenda nº 2.",19,2021-06-01 10:00:00
000000605,46478,DEPUTADO CÁSSIO SOARES,18848,2021-06-01 10:00:00,"Manifesta posição favorável à Emenda nº 1 ao projeto de lei que dispõe
sobre a proteção integral aos direitos do estudante atleta, e posição
contrária à Emenda nº 2.",19,2021-06-01 10:00:00
000000606,46479,DEPUTADO DOUTOR JEAN FREIRE,22581,2021-06-01 10:00:00,"Solicita apoio ao projeto de lei de sua autoria que institui a política
Estadual de Assistência Técnica e Extensão Rural para a Agricultura
Familiar - Peater - e o programa Estadual de Assistência Técnica e
Extensão Rural na Agricultura Familiar - Proater - e dá outras
providências.",19,2021-06-01 10:00:00
000000607,46480,DEPUTADO ANTONIO CARLOS ARANTES,7327,2021-06-01 10:00:00,"Elogia o projeto de lei de sua autoria que institui a política Estadual
de Assistência Técnica e Extensão Rural para a Agricultura Familiar -
Peater - e o programa Estadual de Assistência Técnica e Extensão Rural
na Agricultura Familiar - Proater - e dá outras providências.",19,2021-06-01 10:00:00
000000608,46481,DEPUTADO ANTONIO CARLOS ARANTES,7327,2021-06-01 10:00:00,"Defende o projeto de lei de sua autoria que autoriza o Poder Executivo a
doar ao Município de Pratápolis o imóvel que especifica (destinação:
administração pública direta ou indireta municipal). Presta homenagem
por ocasião do Dia Internacional do Leite.",19,2021-06-01 10:00:00
000000609,46482,DEPUTADA LENINHA,26153,2021-06-01 10:00:00,"Solicita apoio ao projeto de lei de sua autoria que dispõe sobre a
oferta de absorventes higiênicos nas escolas públicas, nas unidades
básicas de saúde, nas unidades e abrigos e nas unidades prisionais, em
âmbito estadual, e dá outras providências.",19,2021-06-01 10:00:00
000000610,46483,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2021-06-01 10:00:00,"Manifesta indignação com a publicidade que está sendo feita pelo governo
do Estado, com a divulgação das obras que serão realizadas por meio do
acordo celebrado entre a Vale e o governo de Minas para reparação de
danos do rompimento da barragem da mineradora no Município de
Brumadinho.",19,2021-06-01 10:00:00
000000617,46469,DEPUTADO GUSTAVO VALADARES,12202,2021-05-27 14:00:00,"Manifesta posição contrária ao projeto de lei que altera a redação da
lei que dispõe sobre o Imposto sobre a Propriedade de Veículos
Automotores - IPVA - e dá outras providências. Defende a manutenção de
incentivo fiscal para locadoras de veículos, tendo em vista que o fim do
benefício pode reduzir a arrecadação do Estado em R$ 320 milhões.",19,2021-05-27 14:00:00
000000618,46470,DEPUTADO DOUTOR JEAN FREIRE,22581,2021-05-27 14:00:00,"Apresenta apelo ao líder do Governo, Gustavo Valadares, para que ele
interceda no Executivo em favor da recuperação da Rodovia  BR-367, que
liga o Município de Diamantina a Porto Seguro (BA), percorrendo todo o
Vale do Jequitinhonha.",19,2021-05-27 14:00:00
000000619,46460,DEPUTADO DOUTOR JEAN FREIRE,22581,2021-05-26 14:00:00,"Pesar pelo falecimento do Sr. Rodrigo Alexandrino, cinegrafista da TV
Assembleia.",19,2021-05-26 14:00:00
000000620,46461,DEPUTADO ARNALDO SILVA,22514,2021-05-26 14:00:00,"Comenta, em seu primeiro pronunciamento após o retorno à Assembleia
Legislativa, que sua fala mescla dois sentimentos: de tristeza, por
substituir Luiz Humberto Carneiro, vítima da Covid-19, e de alegria, por
poder apresentar suas ideias e projetos. Ressalta a retomada do seu
trabalho em defesa dos direitos das pessoas com deficiência. Destaca
ainda a discussão sobre a reorganização administrativa do Estado,
defendendo a descentralização e regionalização das unidades de
atendimento de saúde e educação, de modo a desafogar os grandes centros.
Elogia o governo de Minas, apontando avanços efetivos na gestão do
Instituto de Previdência dos Servidores do Estado de Minas Gerais -
Ipsemg - e nos processos de outorgas de água para irrigação. Solicita
agilidade na tramitação do projeto de lei que trata do acordo celebrado
entre a Vale e o governo de Minas para reparação de danos do rompimento
da barragem da mineradora no Município de Brumadinho. Presta homenagem
ao prefeito do Município de Uberlândia, Odelmo Leão, por ocasião de seu
aniversário.",19,2021-05-26 14:00:00
000000621,46462,DEPUTADO CRISTIANO SILVEIRA,22523,2021-05-26 14:00:00,"Pesar pelo falecimento de servidores da Assembleia Legislativa e
deputados, em decorrência da Covid-19, responsabilizando,
principalmente, o governo federal pela situação da pandemia no País.
Comenta que a Comissão Parlamentar de Inquérito - CPI - da Covid-19, em
curso no Senado Federal, está aprovando audiências para ouvir
governadores e propõe que também Romeu Zema seja chamado. Critica a
gestão de Zema, lamentando, entre outros fatos, a demora para a sanção
do ""Recomeça Minas"" e o não pagamento de férias prêmio para os
servidores que foram aposentados no Estado. Solicita apoio à Proposta de
Emenda à Constituição - PEC - de sua autoria que exige ao governo do
Estado, antes de vender empresa em que tenha no mínimo 5% de
participação acionária, consultar a Assembleia Legislativa.",19,2021-05-26 14:00:00
