numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000003691,43417,DEPUTADO ARLEN SANTIAGO,9652,2019-08-21 10:00:00,"Elogia o Parlamento mineiro pela quantidade de projetos votados.
Solicita ao governador Romeu Zema que convoque os aprovados em concurso
público de professores e supervisores de 2014. Informa sobre o programa
Minas Comunica II, que levará telefonia celular para povoados ou
distritos que tenham mais de 500 eleitores. Lamenta demissão do
secretário de Estado de Governo, Custódio Mattos.",19,2019-08-21 10:00:00
000003692,43418,DEPUTADO BRUNO ENGLER,26148,2019-08-21 10:00:00,"Agradece a aprovação, em 1º turno, do projeto de lei que dispõe sobre o
aproveitamento de armas de fogo apreendidas em operações realizadas
pelas Polícias Civil e Militar do Estado de Minas Gerais e dá outras
providências.",19,2019-08-21 10:00:00
000003693,43419,DEPUTADA BEATRIZ CERQUEIRA,26098,2019-08-21 10:00:00,"Manifesta preocupação com processo de municipalização de escolas
estaduais. Informa sobre reunião que será realizada com a Secretaria de
Planejamento e Gestão, para definir um cronograma de nomeações de
concursados da área da educação, bem como o pagamento do direito de
fêrias-prêmio. Comemora a convocação de aprovados no concurso público
para o quadro de pessoal da Justiça de 1ª instância.",19,2019-08-21 10:00:00
000003704,43388,DEPUTADO DUARTE BECHIR,17919,2019-08-20 20:00:00,Homenagem à Maçonaria pelo transcurso do Dia do Maçom.,19,2019-08-20 20:00:00
000003705,43389,VANDERLEI GERALDO DE ASSIS,,2019-08-20 20:00:00,Agradece a homenagem recebida pelo transcurso do Dia do Maçom.,19,2019-08-20 20:00:00
000003706,43390,MARCO ANTÔNIO MENDONÇA GASPAR,,2019-08-20 20:00:00,Homenagem à Maçonaria pelo transcurso do Dia do Maçom.,19,2019-08-20 20:00:00
000003707,43391,EDILSON DE OLIVEIRA,,2019-08-20 20:00:00,Agradece a homenagem recebida pelo transcurso do Dia do Maçom.,19,2019-08-20 20:00:00
000003708,43392,DEPUTADO GLAYCON FRANCO,20231,2019-08-20 20:00:00,Homenagem à Maçonaria pelo transcurso do Dia do Maçom.,19,2019-08-20 20:00:00
000003709,43393,DEPUTADO DUARTE BECHIR,17919,2019-08-20 14:00:00,"Informa sobre visita realizada à Subsecretaria de Educação Inclusiva e
Integral do Distrito Federal, para conhecer o mecanismo, o financiamento
e a fórmula de tratar a educação para as pessoas com deficiência.",19,2019-08-20 14:00:00
000003710,43394,DEPUTADO TITO TORRES,22616,2019-08-20 14:00:00,"Critica o governador Romeu Zema pela demissão do secretário de Estado de
Governo, Custódio Mattos.",19,2019-08-20 14:00:00
000003711,43395,DEPUTADO ANTONIO CARLOS ARANTES,7327,2019-08-20 14:00:00,"Registra e agradece a presença de alunos do curso de direito da
Universidade do Estado de Minas Gerais - Uemg -, do Município de
Diamantina.",19,2019-08-20 14:00:00
000003712,43396,DEPUTADA BEATRIZ CERQUEIRA,26098,2019-08-20 14:00:00,"Apresenta problemas enfrentados por servidores da educação no Estado,
ressaltando o fechamento de turmas na rede pública estadual, a parcial
recomposição das vagas nas escolas de ensino integral, o assédio moral a
professores e a insuficiente política de nomeações. Defende que a
aplicação, prevista constitucionalmente, dos 25% da receita líquida do
Estado na área poderia modificar esse cenário.",19,2019-08-20 14:00:00
000003713,43397,DEPUTADO JOÃO LEITE,7766,2019-08-20 14:00:00,"Critica o governador Romeu Zema pela demissão do secretário de Estado de
Governo, Custódio Mattos.",19,2019-08-20 14:00:00
000003714,43398,DEPUTADO CORONEL SANDRO,26163,2019-08-20 14:00:00,"Comenta reunião realizada com representantes do governo do Estado e das
forças de segurança pública, em que foi firmado compromisso do governo
de que, condicionada a uma operação financeira que será realizada,
haverá a regularização do pagamento no quinto dia útil, integralmente, e
também o pagamento do 13º salário para todo o funcionalismo público.
Critica o Projeto de Lei Federal 3.369/15, que institui o Estatuto das
Famílias do Século XXI. Parabeniza a ação do Batalhão de Operações
Especiais - Bope - em sequestro de ônibus na Ponte Rio-Niterói.",19,2019-08-20 14:00:00
000003715,43999,DEPUTADO BRUNO ENGLER,26148,2019-08-20 14:00:00,"Critica a demissão do secretário de Estado de Governo, Custódio Mattos.
Manifesta repúdio ao Projeto de Lei Federal 3.369/15, que institui o
Estatuto das Famílias do Século XXI. Comemora a ação do Batalhão de
Operações Especiais - Bope - em sequestro de ônibus na Ponte Rio-
Niterói. Critica o projeto de lei federal de abuso de autoridade.",19,2019-08-20 14:00:00
000003716,43381,DEPUTADO OSVALDO LOPES,26136,2019-08-19 20:00:00,Homenagem pelo 40º aniversário de fundação da Multimarcas Consórcios.,19,2019-08-19 20:00:00
000003717,43382,DEPUTADO MÁRIO HENRIQUE CAIXA,21125,2019-08-19 20:00:00,Homenagem pelo 40º aniversário de fundação da Multimarcas Consórcios.,19,2019-08-19 20:00:00
