numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000004601,42501,DEPUTADO CARLOS PIMENTA,7758,2019-02-14 14:00:00,"Destaca que considera prioridade a regularização dos repasses dos
recursos do Fundeb aos municípios e da área da saúde.",19,2019-02-14 14:00:00
000004602,42502,DEPUTADO DOUTOR JEAN FREIRE,22581,2019-02-14 14:00:00,"Pesar pelo falecimento do Prof. Dimitri, professor do curso de
odontologia da Universidade Federal dos Vales do Jequitinhonha e Mucuri,
vítima de acidente em rodovia que liga os Municípios de Diamantina e
Couto de Magalhães. Comenta que participará de manifestação no local,
onde ocorrem muitos acidentes.",19,2019-02-14 14:00:00
000004603,42503,DEPUTADO GUILHERME DA CUNHA,26134,2019-02-14 14:00:00,"Comenta, em seu primeiro discurso na Assembleia Legislativa, que os
eleitores mostraram um desejo de renovação nas últimas eleições. Destaca
que racionalizará ao máximo o uso das verbas indenizatórias e dos
assessores de seu gabinete. Propõe um diálogo saudável no Parlamento
mineiro. Solicita empenho dos parlamentares para que novos desastres,
como o rompimento de barragem da Vale no Município de Brumadinho, sejam
evitados. Comenta a necessidade de se superar a crise fiscal do Estado,
ressaltando a importância da reforma administrativa proposta pelo
governador Romeu Zema.",19,2019-02-14 14:00:00
000004604,42504,DEPUTADO SARGENTO RODRIGUES,9673,2019-02-14 14:00:00,"Critica a falta de repasses para o Instituto de Previdência dos
Servidores Militares - IPSM -  e o parcelamento do 13º salário dos
servidores públicos. Comenta que o governador Romeu Zema não tem
experiência com administração pública. Informa que realizou visita ao
chefe da Polícia Civil. Destaca ser necessário um sacrifício dos três
Poderes, ao comentar as dez medidas que apresentou para a recuperação
fiscal do Estado.",19,2019-02-14 14:00:00
000004605,42505,DEPUTADA BEATRIZ CERQUEIRA,26098,2019-02-14 14:00:00,"Critica a falta de diálogo entre o governo do Estado e os servidores da
educação e comenta que há uma incógnita sobre o processo de eleição para
a direção das escolas estaduais previstas para maio deste ano. Comenta
que a proposta de reforma previdenciária do governo federal traz para o
servidor público a responsabilidade do déficit previdenciário, e destaca
ser necessário debate sobre o assunto. Ressalta a necessidade de se
discutir a extinção de benefícios fiscais concedidos a grandes empresas.",19,2019-02-14 14:00:00
000004606,42506,DEPUTADA LENINHA,26153,2019-02-14 14:00:00,"Lamenta a polarização política no País e na Assembleia Legislativa e a
onda liberal, antiestado, antisservidor público. Comenta a falta de
diálogo entre o governo do Estado e os servidores da educação,
manifestando sua preocupação com o processo de designação dos
profissionais da área, entre os quais professores quilombolas e de
apoio. Lamenta o retorno à velha crença de que o mercado e a iniciativa
privada são capazes de resolver as demandas da sociedade e os desafios
do desenvolvimento. Manifesta preocupação com a reforma administrativa
proposta pelo governador Romeu Zema. Comenta a votação no Supremo
Tribunal Federal - STF - da criminalização da homofobia. Solicita
prioridade para os projetos de lei que envolvem a regulamentação das
mineradoras.",19,2019-02-14 14:00:00
000004607,42507,DEPUTADO JOÃO LEITE,7766,2019-02-14 14:00:00,"Comenta a atuação do Primeiro Comando da Capital - PCC -, ressaltando
que os criminosos do tráfico são financiados por usuários e dependentes
químicos, sendo que as Regiões Sul e Sudeste apresentam os maiores
índices de consumo de drogas e de atuação de grupos criminosos. Critica
a fiscalização das fronteiras do País. Solicita o retorno do cartão
Aliança pela Vida por parte do governo do Estado e o retorno de
parcerias com comunidades terapêuticas.",19,2019-02-14 14:00:00
000004608,42481,DEPUTADO JOÃO VÍTOR XAVIER,18858,2019-02-13 14:00:00,"Apresenta requerimento solicitando que o governador visite os Municípios
de Itatiaiuçu e Barão de Cocais para verificar a situação dos moradores
que tiveram que abandonar suas casas por risco de rompimento de barragem
na região.",19,2019-02-13 14:00:00
000004609,42482,DEPUTADO DOUGLAS MELO,22531,2019-02-13 14:00:00,"Critica a decisão do governador do Estado de suspender a convocação de
soldados da Polícia Militar de Minas Gerais. Apresenta um panorama da
situação da segurança pública no Estado.",19,2019-02-13 14:00:00
000004610,42483,DEPUTADO CRISTIANO SILVEIRA,22523,2019-02-13 14:00:00,"Comunica que protocolou requerimento de pedido de providências para a
realização de obras na Escola Estadual João dos Santos, no Município de
São João del-Rei, e que formalizará também um ofício ao governador do
Estado e à Secretaria de Educação a respeito da situação dessa escola.
Destaca que essa escola é um patrimônio importante do município, local
onde estudou o ex-presidente Tancredo Neves, e há muito necessita de
reformas.",19,2019-02-13 14:00:00
000004611,42484,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-02-13 14:00:00,"Parabeniza o governador Romeu Zema por anunciar que começará a vender a
frota de aeronaves do governo. Critica a decisão de Zema de proibir
algumas empresas de darem incentivo cultural, contrariando sua proposta
de campanha eleitoral.",19,2019-02-13 14:00:00
000004612,42485,DEPUTADO SARGENTO RODRIGUES,9673,2019-02-13 14:00:00,"Comenta que ajudará o governador Romeu Zema na administração do Estado,
especialmente no corte de despesas, destacando ter apresentando dez
propostas para a recuperação fiscal de Minas que abrange todos os
Poderes, não só o Executivo. Comunica que os servidores da área da
segurança pública continuarão a se mobilizar, cobrando o pagamento em
dia e o 13º salário. Solicita ao governador que permita a livre
manifestação e o direito de reunião de forma pacífica e ordeira, ao
contrário do que teria feito o governador anterior, Fernando Pimentel.",19,2019-02-13 14:00:00
000004613,42486,DEPUTADA ANDREIA DE JESUS,26143,2019-02-13 14:00:00,"Comenta a reforma administrativa proposta pelo governador Romeu Zema,
criticando a intenção de extinção da Escola de Saúde Pública. Comenta a
importância de fórum mineiro realizado em Belo Horizonte para discutir
recursos hídricos e o impacto dos crimes que são praticados pelas
mineradoras. Comenta debate no Supremo Tribunal Federal sobre legislação
que reconheça como crime os atos de homofobia, destacando a urgência de
haver, no Código Penal, um parágrafo que identifique esse tipo de crime,
que também sirva para o feminicídio.",19,2019-02-13 14:00:00
000004614,42487,DEPUTADA BEATRIZ CERQUEIRA,26098,2019-02-13 14:00:00,"Solicita respeito à classe dos trabalhadores em educação da rede pública
ou privada, notadamente os professores. Convida os deputados para
debater a questão da educação no Estado, destacando temas como
estruturas das escolas, condições de trabalho do professor de educação
física, merenda escolar, piso salarial dos professores e doenças
relacionadas à profissão. Solicita respeito a Paulo Freire.",19,2019-02-13 14:00:00
