numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000003201,44143,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2019-11-12 14:00:00,"Solicita esclarecimentos sobre o projeto de lei que acrescenta
dispositivo à lei que dispõe sobre a denominação de estabelecimento,
instituição e próprio público do Estado.",19,2019-11-12 14:00:00
000003202,44144,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-11-12 14:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que
acrescenta dispositivo à lei que dispõe sobre a denominação de
estabelecimento, instituição e próprio público do Estado.",19,2019-11-12 14:00:00
000003203,44145,DEPUTADO CELINHO SINTROCEL,18849,2019-11-12 14:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que
acrescenta dispositivo à lei que dispõe sobre a denominação de
estabelecimento, instituição e próprio público do Estado.",19,2019-11-12 14:00:00
000003204,44146,DEPUTADO CARLOS HENRIQUE,10002,2019-11-12 14:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que
acrescenta dispositivo à lei que dispõe sobre a denominação de
estabelecimento, instituição e próprio público do Estado.",19,2019-11-12 14:00:00
000003205,44147,DEPUTADA BEATRIZ CERQUEIRA,26098,2019-11-12 14:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que
acrescenta dispositivo à lei que dispõe sobre a denominação de
estabelecimento, instituição e próprio público do Estado.",19,2019-11-12 14:00:00
000003206,44148,DEPUTADO CHARLES SANTOS,26062,2019-11-12 14:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que
acrescenta dispositivo à lei que dispõe sobre a denominação de
estabelecimento, instituição e próprio público do Estado.",19,2019-11-12 14:00:00
000003207,44149,DEPUTADO ANDRÉ QUINTÃO,12195,2019-11-12 14:00:00,"Declara voto em branco ao Substitutivo nº 1 ao projeto de lei que
acrescenta dispositivo à lei que dispõe sobre a denominação de
estabelecimento, instituição e próprio público do Estado.",19,2019-11-12 14:00:00
000003208,44150,DEPUTADO CRISTIANO SILVEIRA,22523,2019-11-12 14:00:00,"Declara voto em branco ao Substitutivo nº 1 ao projeto de lei que
acrescenta dispositivo à lei que dispõe sobre a denominação de
estabelecimento, instituição e próprio público do Estado.",19,2019-11-12 14:00:00
000003209,44151,DEPUTADO ULYSSES GOMES,18867,2019-11-12 14:00:00,"Declara voto em branco ao Substitutivo nº 1 ao projeto de lei que
acrescenta dispositivo à lei que dispõe sobre a denominação de
estabelecimento, instituição e próprio público do Estado.",19,2019-11-12 14:00:00
000003210,44152,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2019-11-12 14:00:00,"Declara ter votado favoravelmente ao projeto de lei que acrescenta
dispositivo à lei que dispõe sobre a denominação de estabelecimento,
instituição e próprio público do Estado por confiar em seu autor,
ressaltando, porém, ter analisado pouco o projeto. Solicita que projeto
de sua autoria que está pronto para votação em segundo turno seja
colocado em pauta.",19,2019-11-12 14:00:00
000003211,44153,DEPUTADO BARTÔ,26144,2019-11-12 14:00:00,"Presta esclarecimentos sobre o projeto de lei que acrescenta dispositivo
à lei que dispõe sobre a denominação de estabelecimento, instituição e
próprio público do Estado.",19,2019-11-12 14:00:00
000003212,44154,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-11-12 14:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que dispõe
sobre a desafetação do trecho de rodovia que especifica e autoriza o
Poder Executivo a doá-lo ao Município de Senador Firmino (destinação:
extensão territorial urbana).",19,2019-11-12 14:00:00
000003213,44155,DEPUTADO CORONEL SANDRO,26163,2019-11-12 14:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que dispõe
sobre a desafetação do trecho de rodovia que especifica e autoriza o
Poder Executivo a doá-lo ao Município de Senador Firmino (destinação:
extensão territorial urbana).",19,2019-11-12 14:00:00
000003214,44156,DEPUTADO AGOSTINHO PATRUS,15245,2019-11-12 14:00:00,Registra a presença da ex-deputada Maria Elvira.,19,2019-11-12 14:00:00
