numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000004201,42993,DEPUTADO SARGENTO RODRIGUES,9673,2019-05-07 14:00:00,"Comenta a votação do parecer de redação final do projeto de lei que
trata da reforma administrativa do Estado, ressaltando que a Assembleia
Legislativa cumpriu o seu papel. Elogia o presidente da Casa pela sua
atuação na tramitação do projeto. Defende aumento de salário para os
secretários de Estado, em virtude da complexidade e da responsabilidade
do cargo. Solicita ao governador que mantenha diálogo com o Poder
Legislativo.",19,2019-05-07 14:00:00
000004202,42994,DEPUTADO DUARTE BECHIR,17919,2019-05-07 14:00:00,"Comenta a tramitação do projeto de lei que trata da reforma
administrativa do Estado. Elogia o presidente da Casa pela sua atuação
na tramitação do projeto. Defende diálogo entre os Poderes Legislativo e
Executivo.",19,2019-05-07 14:00:00
000004203,42995,DEPUTADA LENINHA,26153,2019-05-07 14:00:00,"Comenta audiência pública que tratou da situação da Universidade
Estadual de Montes Claros - Unimontes - e da Universidade do Estado de
Minas Gerais - Uemg. Comenta sobre o impacto da reforma administrativa e
do corte de recursos do governo do Estado para essas instituições, bem
como sobre a importância dessas universidades. Lamenta a ausência da
secretária de Estado de Educação na reunião, uma vez que sua pasta
também será responsável pelo ensino superior como previsto na reforma.
Ressalta a importância de rever cortes de bolsas da Fundação de Amparo à
Pesquisa de Minas Gerais - Fapemig. Comemora a eleição de Dom Walmor,
arcebispo de Belo Horizonte, para presidente da Conferência Nacional dos
Bispos do Brasil - CNBB. Convida para o primeiro debate público da
Comissão de Direitos Humanos.",19,2019-05-07 14:00:00
000004204,42996,DEPUTADO ANDRÉ QUINTÃO,12195,2019-05-07 14:00:00,"Comenta que a educação pública superior tem sofrido ataques tanto na
esfera federal quanto na estadual com cortes de recursos. Destaca que a
redução de 30% dos investimentos nas universidades públicas federais
significa o enfraquecimento da ciência e da tecnologia e que não procede
o argumento de que esses cortes vão gerar recursos para a educação
básica. Ressalta que a redução de investimentos para o ensino superior
na esfera estadual também traz impactos negativos, e que é necessário
fazer outras discussões como o pacto federativo e o fim da Lei Kandir.",19,2019-05-07 14:00:00
000004205,42997,DEPUTADO ELISMAR PRADO,18852,2019-05-07 14:00:00,"Lamenta o corte de 30% de recursos para as universidades públicas
federais do Brasil e a redução de investimentos na área no Estado.
Comenta a redução de bolsas da Fundação de Amparo à Pesquisa de Minas
Gerais - Fapemig - e defende as pesquisas desenvolvidas por bolsistas.
Comenta nota da Universidade Federal de Uberlândia - UFU -, na qual são
relatados impactos decorrentes da redução desses investimentos, entre
eles, o comprometimento de atividades acadêmicas e administrativas e a
possibilidade de romper contratos com fornecedores.",19,2019-05-07 14:00:00
000004206,42998,DEPUTADO CORONEL SANDRO,26163,2019-05-07 14:00:00,"Comenta os cortes de verbas na área da educação, destacando que a
redução de investimentos nesse setor também teria existido em governos
petistas, e que esses recursos podem ter sido cortados para favorecer
países da América Latina e da África, os quais chamou de países do eixo
comunista. Comenta que a necessidade de reduzir investimentos se deve ao
fato de que o País está quebrado e é urgente fazer reformas. Comenta que
os brasileiros que votaram no presidente Bolsonaro escolheram uma
mudança de rumo, inclusive ideológica. Critica a existência de cursos
para os quais não há mercado nos locais onde são desenvolvidos e defende
que a definição seja criteriosa para que não haja desvios de recursos
públicos.",19,2019-05-07 14:00:00
000004207,42999,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2019-05-07 14:00:00,"Presta homenagem às mães, por ocasião do Dia das Mães. Comenta a
importância do Dia do Trabalhador, ressaltando que ainda há muitas
conquistas a serem obtidas, entre elas a ampliação dos direitos
previdenciários. Comenta que os governos Lula e Dilma Rousseff fizeram
ajustes necessários nesse aspecto e que as reformas não podem trazer
prejuízos à população.",19,2019-05-07 14:00:00
000004208,42989,DEPUTADO CRISTIANO SILVEIRA,22523,2019-05-07 14:00:00,"Registra a presença de alunos do 1º período do curso de direito da
Unileste.",19,2019-05-07 14:00:00
000004209,42830,DEPUTADO BRUNO ENGLER,26148,2019-05-02 14:00:00,"Defende o governo do presidente Jair Bolsonaro, em resposta a
pronunciamento do deputado Cristiano Silveira.",19,2019-05-02 14:00:00
000004210,42831,DEPUTADO CLEITINHO AZEVEDO,26101,2019-05-02 14:00:00,"Comenta a reforma da Previdência, destacando que o povo não pode pagar a
conta e que é necessária uma reforma política.",19,2019-05-02 14:00:00
000004211,42832,DEPUTADO BARTÔ,26144,2019-05-02 14:00:00,Comenta a situação política da Venezuela.,19,2019-05-02 14:00:00
