numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000004501,42579,DEPUTADO GUSTAVO VALADARES,12202,2019-02-27 14:00:00,Apresenta sugestões em relação ao andamento da reunião.,19,2019-02-27 14:00:00
000004502,42580,DEPUTADO SARGENTO RODRIGUES,9673,2019-02-27 14:00:00,"Solicita à Secretaria-Geral da Mesa que contacte os deputados para
comparecerem ao Plenário para o processo de votação.",19,2019-02-27 14:00:00
000004503,42581,DEPUTADO GUSTAVO VALADARES,12202,2019-02-27 14:00:00,Apresenta sugestões em relação ao andamento da reunião.,19,2019-02-27 14:00:00
000004504,42582,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-02-27 14:00:00,"Comenta que há um montante proveniente da Loteria do Estado de Minas
Gerais - Lemg - que não foi utilizado pelo governo do Estado nos últimos
quatro anos. Alerta que essa montante só pode ser aplicado em trabalho
social.",19,2019-02-27 14:00:00
000004505,42583,DEPUTADO ROBERTO ANDRADE,22607,2019-02-27 14:00:00,"Declara voto favorável o Substitutivo nº 1 à proposta de emenda à
Constituição que dispõe sobre o comparecimento na Assembleia Legislativa
de Secretário de Estado, dirigentes da Administração Indireta e
titulares dos órgãos diretamente subordinados ao Governador do Estado.",19,2019-02-27 14:00:00
000004506,42584,DEPUTADO DOUTOR WILSON BATISTA,18850,2019-02-27 14:00:00,"Declara voto favorável o Substitutivo nº 1 à proposta de emenda à
Constituição que dispõe sobre o comparecimento na Assembleia Legislativa
de Secretário de Estado, dirigentes da Administração Indireta e
titulares dos órgãos diretamente subordinados ao Governador do Estado.",19,2019-02-27 14:00:00
000004507,42585,DEPUTADA MARÍLIA CAMPOS,12213,2019-02-27 14:00:00,"Declara voto favorável o Substitutivo nº 1 à proposta de emenda à
Constituição que dispõe sobre o comparecimento na Assembleia Legislativa
de Secretário de Estado, dirigentes da Administração Indireta e
titulares dos órgãos diretamente subordinados ao Governador do Estado.",19,2019-02-27 14:00:00
000004508,42586,DEPUTADO ANDRÉ QUINTÃO,12195,2019-02-27 14:00:00,"Declara posição favorável à proposta de emenda à Constituição que dispõe
sobre o comparecimento na Assembleia Legislativa de Secretário de
Estado, dirigentes da Administração Indireta e titulares dos órgãos
diretamente subordinados ao Governador do Estado. Declara posição
favorável ao projeto de resolução que modifica a estrutura
administrativa da Secretaria da Assembleia Legislativa do Estado.",19,2019-02-27 14:00:00
000004509,42587,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2019-02-27 14:00:00,"Declara posição favorável à proposta de emenda à Constituição que dispõe
sobre o comparecimento na Assembleia Legislativa de Secretário de
Estado, dirigentes da Administração Indireta e titulares dos órgãos
diretamente subordinados ao Governador do Estado. Declara posição
favorável ao projeto de resolução que modifica a estrutura
administrativa da Secretaria da Assembleia Legislativa do Estado.",19,2019-02-27 14:00:00
000004510,42588,DEPUTADO BRUNO ENGLER,26148,2019-02-27 14:00:00,"Solicita urgência na instalação da comissão parlamentar de inquérito -
CPI - que visa apurar as causas do rompimento de barragem de rejeitos da
mineradora Vale, no Município de Brumadinho. Critica requerimento sobre
a inclusão de temáticas de diversidade étnico-racial, de gênero e sexual
no cotidiano escolar. Lamenta a precariedade da unidade de Pronto
Atendimento - UPA - Leste de Belo Horizonte. Declara posição contrária à
ação que será julgada pelo Supremo Tribunal Federal - STF - que propõe
diminuir a jornada e os salários dos servidores. Critica governo de
Nicolás Maduro na Venezuela.",19,2019-02-27 14:00:00
000004511,42589,DEPUTADO BETÃO,26145,2019-02-27 14:00:00,"Informa que o requerimento sobre o qual o deputado Bruno Engler se
pronunciou teve origem no Parlamento Jovem de Minas. Comenta que as
discussões sobre gênero e sexualidade já são feitas há muito tempo e a
chamada ideologia de gênero é uma farsa. Ressalta que alguns políticos
discutiriam esse assunto para encobrir pautas que realmente interessam à
população. Comenta a questão da Venezuela, destacando que a ajuda
humanitária ao País seria uma desculpa para provocar a instabilidade do
governo de Nicolás Maduro e uma guerra, e que o verdadeiro interesse
seria o petróleo. Critica a reforma da previdência proposta pelo
presidente Jair Bolsonaro.",19,2019-02-27 14:00:00
000004512,42590,DEPUTADO SARGENTO RODRIGUES,9673,2019-02-27 14:00:00,"Declara posição favorável à proposta de emenda à Constituição - PEC -
que dispõe sobre o comparecimento na Assembleia Legislativa de
secretário de Estado, dirigentes da Administração Indireta e titulares
dos órgãos diretamente subordinados ao governador do Estado.",19,2019-02-27 14:00:00
000004513,42591,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-02-27 14:00:00,"Declara posição favorável ao projeto de resolução que modifica a
estrutura administrativa da Secretaria da Assembleia Legislativa do
Estado.",19,2019-02-27 14:00:00
000004514,42592,DEPUTADO SARGENTO RODRIGUES,9673,2019-02-27 14:00:00,"Declara posição contrária ao projeto de resolução que modifica a
estrutura administrativa da Secretaria da Assembleia Legislativa do
Estado, porém informa que votará favoravelmente em respeito ao
presidente da Assembleia Legislativa.",19,2019-02-27 14:00:00
000004515,42563,DEPUTADO CORONEL HENRIQUE,26149,2019-02-26 14:00:00,"Comenta que a aprovação do projeto de lei que dispõe sobre o
licenciamento ambiental e a fiscalização de barragens no Estado
representa uma vitória da boa política, um momento histórico. Manifesta
preocupação com a possibilidade de fechamento da Escola Estadual Doutor
Teobaldo Tollendal, no Município de Barbacena, onde passaria a funcionar
a Superintendência de Educação. Informa que protocolou requerimento
solicitando à secretária de Educação que essa decisão seja revista.",19,2019-02-26 14:00:00
000004516,42564,DEPUTADO DOUGLAS MELO,22531,2019-02-26 14:00:00,"Comenta que, em reunião da Comissão de Segurança Pública, a Sra. Marta,
que vem acompanhando desde o início a tragédia do rompimento da barragem
da Vale no Município de Brumadinho, informou que a empresa já teria um
estudo mostrando o prejuízo de vidas e de residências, caso a barragem
se rompesse. Destaca que os deputados da Assembleia têm que permanecer
unidos para tratar dessa questão, a qual considera um crime.",19,2019-02-26 14:00:00
000004517,42565,DEPUTADO LÉO PORTELA,16019,2019-02-26 14:00:00,"Parabeniza o ministro Ricardo Vélez pela atitude de observar a lei que
dispõe que as escolas executem o Hino Nacional uma vez por semana.
Critica, porém, sua atitude de colocar na comunicação às escolas o
slogan de campanha: “Brasil acima de tudo, Deus acima de todos”. Destaca
que a educação deve ser neutra e de maneira a apresentar com isonomia
todas as correntes.",19,2019-02-26 14:00:00
000004518,42566,DEPUTADO NORALDINO JÚNIOR,22521,2019-02-26 14:00:00,"Contesta notícias de que teria havido reunião secreta entre funcionários
da Secretaria de Meio Ambiente e a Vale. Comenta que há ata e gravação
da reunião, destacando que todas as irregularidades devem ser
fiscalizadas, mas que não se pode cometer o erro de colocar os
funcionários do Sisema em vulnerabilidade.",19,2019-02-26 14:00:00
000004519,42567,DEPUTADO DOORGAL ANDRADA,26151,2019-02-26 14:00:00,"Pesar pelo falecimento do Sr. Alexandre Lazzarotto, atropelado por um
ônibus no entorno da Cidade Administrativa. Lamenta que no País os
ciclistas sejam tratados com violência e informa que está acompanhando a
apuração do crime.",19,2019-02-26 14:00:00
000004520,42568,DEPUTADO MAURO TRAMONTE,26111,2019-02-26 14:00:00,"Pesar pelo falecimento do cantor e compositor Tavito, que fazia parte do
Clube da Esquina.",19,2019-02-26 14:00:00
