numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao,evento
000001501,45609,DEPUTADO ARLEN SANTIAGO,9652,2020-08-18 14:00:00,"Solicita apoio dos colegas parlamentares votados no Município de São
João da Ponte, para que proponham emendas orçamentárias conjuntas para
destinar R$ 12 milhões para a drenagem e pavimentação de uma rodovia
entre aquela cidade e o Município de Montes Claros, na mesma região.
Ressalta que essa estrada facilitará a ampliação de uma empresa agrícola
que pretende triplicar sua produção e passar de 900 para quase 3 mil
empregados. Critica a Companhia Energética de Minas Gerais - CEMIG -
pelo fechamento de agências e por cobranças excessivas realizadas
durante a pandemia.",19,2020-08-18 14:00:00,
000001502,45578,DEPUTADO DOUTOR JEAN FREIRE,22581,2020-08-13 14:00:00,"Saúda a todos e comenta falhas na conexão da internet durante as
reuniões de Plenário virtuais.",19,2020-08-13 14:00:00,
000001503,45579,DEPUTADO DOUTOR JEAN FREIRE,22581,2020-08-13 14:00:00,"Solicita 1 minuto de silêncio pela morte de  D. Pedro Casaldáliga e
presta homenagem póstuma ao líder da Igreja Católica. Critica a ação de
reintegração de posse da fazenda Ariadnópolis, no Município de Campo do
Meio, onde reside o Quilombo de Campo Grande, com famílias produtoras
rurais. Agradece a todos que estão trabalhando, se expondo fisicamente,
para que as reuniões aconteçam virtualmente, evitando a proliferação do
vírus da Covid-19 na Assembleia Legislativa. Comenta a tramitação e as
discussões virtuais feitas em torno do  Plano Plurianual de Ação
Governamental - PPAG e destaca a participação popular no processo mesmo
durante a pandemia.",19,2020-08-13 14:00:00,
000001504,45580,DEPUTADA ANA PAULA SIQUEIRA,19150,2020-08-13 14:00:00,"Comenta a tramitação da proposta de reforma da Previdência dos
servidores civis do Estado. Defende que a resolução do déficit fiscal do
Estado não pode ser obtida às custas dos servidores públicos. Comenta a
discussão da matéria ocorrida na  Comissão do Trabalho, da Previdência e
da Assistência Social. Critica a ordem de reintegração de posse da
fazenda Ariadnópolis, no Município de Campo do Meio, onde reside o
Quilombo de Campo Grande, salientando a inadequação da reintegração de
posse neste momento de pandemia da Covid-19. Comenta a sanção da lei que
acrescenta inciso à lei que institui a política de atendimento à mulher
vítima de violência no Estado, criando  banco de emprego para mulheres
vítimas de violência doméstica.",19,2020-08-13 14:00:00,
000001505,45581,DEPUTADO SARGENTO RODRIGUES,9673,2020-08-13 14:00:00,"Defende a atuação da Polícia Militar do Estado de Minas Gerais - PMMG -
durante a execução de ordem de reintegração de posse da fazenda
Ariadnópolis, no Município de Campo do Meio, onde reside o Quilombo de
Campo Grande e destaca que a corporação militar cumpre ordem judicial.
Denuncia o que entende como crime de esbulho possessório praticado pelo
Movimento dos Trabalhadores Rurais Sem Terra - MST - e lideranças do
movimento.",19,2020-08-13 14:00:00,
000001506,45582,DEPUTADA ANDRÉIA DE JESUS,26143,2020-08-13 14:00:00,"Critica a noção de propriedade sem levar em conta o histórico de
ocupação das terras, destacando o entendimento de que atuais
proprietários são herdeiros de capitanias e a possessão da terra é
questionável. Denuncia a existência de uma disputa pelo mercado do café
por trás da  reintegração de posse da fazenda Ariadnópolis, no Município
de Campo do Meio, onde reside o Quilombo de Campo Grande e o uso abusivo
de poder e recursos pagos com dinheiro público. Solicita que o
governador Romeu Zema siga as orientações do Programa das Nações Unidas
para os Assentamentos Humanos - ONU-Habitat -  que emitiu uma declaração
sobre a suspensão de despejos e remoções durante a pandemia. Defende que
esbulho possessório não cabe ser discutido depois de 20 anos de uma
terra produtiva e sobre a qual ainda não foi decidida a área a ser
efetivamente desapropriada ou reintegrada.",19,2020-08-13 14:00:00,
000001507,45583,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2020-08-13 14:00:00,"Declara acreditar que a Polícia Militar do Estado de Minas Gerais - PMMG
- esteja seguindo as orientações institucionais no manejo com os
assentados que sofrem a ação de reintegração de posse da fazenda
Ariadnópolis, no Município de Campo do Meio, onde reside o Quilombo de
Campo Grande. Defende uma maior discussão sobre a reintegração de posse,
o respeito aos direitos dos trabalhadores rurais que produzem na terra
em questão e que a execução judicial nesse momento de pandemia é
intempestiva e descontextualizada. Defende ainda a  busca de fontes
saudáveis para a retomada do reequilíbrio fiscal do Estado e
abastecimento dos cofres públicos.",19,2020-08-13 14:00:00,
000001508,45584,DEPUTADO BETÃO,26145,2020-08-13 14:00:00,"Denuncia a demolição de escola localizada no Município de Campo do Meio,
no Quilombo de Campo Grande e defende que a realidade das famílias ali
instaladas não se trata de  esbulho possessório. São 450 famílias que
praticam agricultura familiar.",19,2020-08-13 14:00:00,
000001509,45566,DEPUTADO GUSTAVO SANTANA,24621,2020-08-12 14:00:00,"Solicita à Mesa da Assembleia Legislativa que analise a retomada dos
trabalhos presenciais no Parlamento mineiro, suspensos em decorrência da
pandemia da Covid-19.",19,2020-08-12 14:00:00,
000001510,45567,DEPUTADO SARGENTO RODRIGUES,9673,2020-08-12 14:00:00,"Defende a atuação da Polícia Militar do Estado de Minas Gerais - PMMG -
em ação de despejo do Quilombo de Campo Grande, no Município de Campo do
Meio, ressaltando que a corporação apenas cumpriu uma ordem judicial,
não passível de questionamento. Solicita à Mesa da Assembleia
Legislativa que analise a retomada gradativa dos trabalhos presenciais
no Parlamento mineiro, suspensos em decorrência da pandemia da Covid-19.",19,2020-08-12 14:00:00,
