numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000002695,44426,DEPUTADO PROFESSOR IRINEU,26137,2019-12-18 09:00:00,"Declara posição favorável ao projeto de lei que altera a lei que cria a
área de proteção ambiental de Vargem das Flores, situada nos Municípios
de Betim e Contagem, e dá outras providências.",19,2019-12-18 09:00:00
000002696,44427,DEPUTADO JOÃO VÍTOR XAVIER,18858,2019-12-18 09:00:00,"Declara posição favorável ao projeto de lei que altera a lei que cria a
área de proteção ambiental de Vargem das Flores, situada nos Municípios
de Betim e Contagem, e dá outras providências.",19,2019-12-18 09:00:00
000002697,44428,DEPUTADA ANA PAULA SIQUEIRA,19150,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que altera
a lei que cria a área de proteção ambiental de Vargem das Flores, situada
nos Municípios de Betim e Contagem, e dá outras providências.",19,2019-12-18 09:00:00
000002698,44429,DEPUTADO INÁCIO FRANCO,15265,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que altera
a lei que cria a área de proteção ambiental de Vargem das Flores, situada
nos Municípios de Betim e Contagem, e dá outras providências.",19,2019-12-18 09:00:00
000002699,44430,DEPUTADO GUSTAVO SANTANA,24621,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que altera
a lei que cria a área de proteção ambiental de Vargem das Flores, situada
nos Municípios de Betim e Contagem, e dá outras providências.",19,2019-12-18 09:00:00
000002700,44431,DEPUTADO DOUTOR WILSON BATISTA,18850,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei que altera
a lei que cria a área de proteção ambiental de Vargem das Flores, situada
nos Municípios de Betim e Contagem, e dá outras providências.",19,2019-12-18 09:00:00
000002701,44432,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-12-18 09:00:00,"Comenta a importância da represa de Várzea das Flores, e a necessidade de
se cobrar da Companhia de Saneamento de Minas Gerais - Copasa - o
desassoreamento da lagoa.",19,2019-12-18 09:00:00
000002702,44433,DEPUTADO BARTÔ,26144,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei
complementar que altera a lei complementar que dispõe sobre a licença
para tratamento de saúde dos servidores atingidos pela decisão do Supremo
Tribunal Federal - STF - no julgamento da Ação Direta de
Inconstitucionalidade nº 4.876 e dá outras providências.",19,2019-12-18 09:00:00
000002703,44434,DEPUTADO BRUNO ENGLER,26148,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei
complementar que altera a lei complementar que dispõe sobre a licença
para tratamento de saúde dos servidores atingidos pela decisão do Supremo
Tribunal Federal - STF - no julgamento da Ação Direta de
Inconstitucionalidade nº 4.876 e dá outras providências.",19,2019-12-18 09:00:00
000002704,44435,DEPUTADO JOÃO LEITE,7766,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei
complementar que altera a lei complementar que dispõe sobre a licença
para tratamento de saúde dos servidores atingidos pela decisão do Supremo
Tribunal Federal - STF - no julgamento da Ação Direta de
Inconstitucionalidade nº 4.876 e dá outras providências.",19,2019-12-18 09:00:00
000002705,44436,DEPUTADO SARGENTO RODRIGUES,9673,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei
complementar que altera a lei complementar que dispõe sobre a licença
para tratamento de saúde dos servidores atingidos pela decisão do Supremo
Tribunal Federal - STF - no julgamento da Ação Direta de
Inconstitucionalidade nº 4.876 e dá outras providências.",19,2019-12-18 09:00:00
000002706,44437,DEPUTADO BETÃO,26145,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei
complementar que altera a lei complementar que dispõe sobre a licença
para tratamento de saúde dos servidores atingidos pela decisão do Supremo
Tribunal Federal - STF - no julgamento da Ação Direta de
Inconstitucionalidade nº 4.876 e dá outras providências.",19,2019-12-18 09:00:00
000002707,44438,DEPUTADO MÁRIO HENRIQUE CAIXA,21125,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei
complementar que altera a lei complementar que dispõe sobre a licença
para tratamento de saúde dos servidores atingidos pela decisão do Supremo
Tribunal Federal - STF - no julgamento da Ação Direta de
Inconstitucionalidade nº 4.876 e dá outras providências.",19,2019-12-18 09:00:00
000002708,44439,DEPUTADO ELISMAR PRADO,18852,2019-12-18 09:00:00,"Declara voto favorável ao Substitutivo nº 1 ao projeto de lei
complementar que altera a lei complementar que dispõe sobre a licença
para tratamento de saúde dos servidores atingidos pela decisão do Supremo
Tribunal Federal - STF - no julgamento da Ação Direta de
Inconstitucionalidade nº 4.876 e dá outras providências.",19,2019-12-18 09:00:00
000002709,44440,DEPUTADA BEATRIZ CERQUEIRA,26098,2019-12-18 09:00:00,"Presta esclarecimentos sobre a construção do projeto de lei complementar
que altera a lei complementar que dispõe sobre a licença para tratamento
de saúde dos servidores atingidos pela decisão do Supremo Tribunal
Federal - STF - no julgamento da Ação Direta de Inconstitucionalidade nº
4.876 e dá outras providências. Comenta a importância de emendas que
foram apresentadas ao projeto.",19,2019-12-18 09:00:00
000002710,44441,DEPUTADO DUARTE BECHIR,17919,2019-12-18 09:00:00,"Parabeniza o trabalho da Associação de Professores Públicos de Minas
Gerais - APPMG - e do deputado João Leite relativo ao projeto de lei
complementar que altera a lei complementar que dispõe sobre a licença
para tratamento de saúde dos servidores atingidos pela decisão do Supremo
Tribunal Federal - STF - no julgamento da Ação Direta de
Inconstitucionalidade nº 4.876 e dá outras providências.",19,2019-12-18 09:00:00
000002711,44442,DEPUTADO SARGENTO RODRIGUES,9673,2019-12-18 09:00:00,"Critica o governo estadual anterior - gestão do Partido dos Trabalhadores
- PT - em relação ao amparo aos designados da ""Lei 100"". Comemora a
deliberação da Assembleia Legislativa que dispõe sobre a conversão em
espécie de férias-prêmio para quitação, total ou parcial, do saldo
devedor de financiamento para aquisição de casa própria.",19,2019-12-18 09:00:00
000002712,44443,DEPUTADO CORONEL SANDRO,26163,2019-12-18 09:00:00,"Defende o governador Romeu Zema em relação ao amparo aos designados da
""Lei 100"", criticando a gestão anterior, do Partido dos Trabalhadores -
PT, e o então deputado estadual Rogéio Correia.",19,2019-12-18 09:00:00
000002713,44444,DEPUTADO CRISTIANO SILVEIRA,22523,2019-12-18 09:00:00,"Apresenta histórico da ""Lei 100"", contestando pronuncimentos de deputados
que criticaram a gestão do governo anterior - do Partido dos
Trabalhadores - PT - e o então deputado estadual Rogério Correia.",19,2019-12-18 09:00:00
000002714,44445,DEPUTADO JOÃO LEITE,7766,2019-12-18 09:00:00,"Apresenta histórico da ""Lei 100"", criticando a gestão do governo anterior
- do Partido dos Trabalhadores - PT - em relação ao assunto.",19,2019-12-18 09:00:00
000002715,44446,DEPUTADO ANDRÉ QUINTÃO,12195,2019-12-18 09:00:00,"Parabeniza a deputada Beatriz Cerqueira por ter apresentado o projeto de
lei complementar que altera a lei complementar que dispõe sobre a licença
para tratamento de saúde dos servidores atingidos pela decisão do Supremo
Tribunal Federal no julgamento da Ação Direta de Inconstitucionalidade
4876.",19,2019-12-18 09:00:00
000002716,44447,DEPUTADO BRUNO ENGLER,26148,2019-12-18 09:00:00,"Justifica sua ausência no início da reunião. Presta esclarecimentos sobre
a apresentação pelo governo do Estado do projeto de lei complementar que
altera a lei complementar que dispõe sobre a licença para tratamento de
saúde dos servidores atingidos pela decisão do Supremo Tribunal Federal -
STF - no julgamento da Ação Direta de Inconstitucionalidade nº 4.876 e dá
outras providências, criticando o Partido dos Trabalhadores - PT.",19,2019-12-18 09:00:00
000002717,44448,DEPUTADO MÁRIO HENRIQUE CAIXA,21125,2019-12-18 09:00:00,"Declara voto favorável à Emenda nº 1 ao projeto de lei complementar que
altera a lei complementar que dispõe sobre a licença para tratamento de
saúde dos servidores atingidos pela decisão do Supremo Tribunal Federal -
STF - no julgamento da Ação Direta de Inconstitucionalidade nº 4.876 e dá
outras providências.",19,2019-12-18 09:00:00
000002718,44449,DEPUTADO PROFESSOR IRINEU,26137,2019-12-18 09:00:00,"Declara voto favorável à Emenda nº 1 ao projeto de lei complementar que
altera a lei complementar que dispõe sobre a licença para tratamento de
saúde dos servidores atingidos pela decisão do Supremo Tribunal Federal -
STF - no julgamento da Ação Direta de Inconstitucionalidade nº 4.876 e dá
outras providências.",19,2019-12-18 09:00:00
000002719,44450,DEPUTADO BETÃO,26145,2019-12-18 09:00:00,"Declara voto favorável à Emenda nº 2 ao projeto de lei complementar que
altera a lei complementar que dispõe sobre a licença para tratamento de
saúde dos servidores atingidos pela decisão do Supremo Tribunal Federal -
STF - no julgamento da Ação Direta de Inconstitucionalidade nº 4.876 e dá
outras providências.",19,2019-12-18 09:00:00
000002720,44451,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-12-18 09:00:00,"Declara voto favorável à Emenda nº 2 ao projeto de lei complementar que
altera a lei complementar que dispõe sobre a licença para tratamento de
saúde dos servidores atingidos pela decisão do Supremo Tribunal Federal -
STF - no julgamento da Ação Direta de Inconstitucionalidade nº 4.876 e dá
outras providências.",19,2019-12-18 09:00:00
000002721,44452,DEPUTADO ROBERTO ANDRADE,22607,2019-12-18 09:00:00,"Declara voto favorável à Emenda nº 2 ao projeto de lei complementar que
altera a lei complementar que dispõe sobre a licença para tratamento de
saúde dos servidores atingidos pela decisão do Supremo Tribunal Federal -
STF - no julgamento da Ação Direta de Inconstitucionalidade nº 4.876 e dá
outras providências.",19,2019-12-18 09:00:00
