numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000003001,44369,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-12-04 10:00:00,"Manifesta posição favorável ao projeto de lei que dispõe sobre a cessão
de direitos creditórios de titularidade do Estado relacionados com a
Companhia de Desenvolvimento Econômico de Minas Gerais - Codemig -, em
respeito aos servidores públicos, ressaltando, porém, que a venda de
créditos não resolve o problema financeiro do Estado, apenas o adia com
a antecipação de recursos. Propõe que o governo estadual tenha mais
criatividade na administração.",19,2019-12-04 10:00:00
000003002,44370,DEPUTADO CORONEL SANDRO,26163,2019-12-04 10:00:00,"Comemora a aprovação do projeto de lei que dispõe sobre a cessão de
direitos creditórios de titularidade do Estado relacionados com a
Companhia de Desenvolvimento Econômico de Minas Gerais - Codemig.
Questiona a falta de participação das entidades sindicais no processo e
comenta sobre obstruções que ocorreram durante sua votação.",19,2019-12-04 10:00:00
000003003,44371,DEPUTADO NORALDINO JÚNIOR,22521,2019-12-04 10:00:00,"Comenta a aprovação do projeto de lei que dispõe sobre a cessão de
direitos creditórios de titularidade do Estado relacionados com a
Companhia de Desenvolvimento Econômico de Minas Gerais - Codemig.
Ressalta ter votado a favor do servidor público e por acreditar que o
governo estadual seja sério e ético, voltado para promoção de mudanças
no Estado. Destaca a categoria dos servidores do Sistema Estadual de
Meio Ambiente de Minas Gerais - Sisema -, única categoria a ter acordo
judicial homologado para que o plano de carreiras seja encaminhado à
Assembleia Legislativa para aprovação. Informa que apoiará o governo no
projeto que altera a lei que cria o Fundo de Erradicação da Miséria -
FEM.",19,2019-12-04 10:00:00
000003004,44372,DEPUTADO RAUL BELÉM,26114,2019-12-04 10:00:00,"Ressalta a importância do servidor público do Estado e ressalta que a
aprovação do projeto de lei que dispõe sobre a cessão de direitos
creditórios de titularidade do Estado relacionados com a Companhia de
Desenvolvimento Econômico de minas Gerais - Codemig - foi muito
importante para a classe. Comenta que a antecipação de receitas e uma
situação complicada, mas a opção possível para um momento difícil como o
que o Estado vem passando. Parabeniza os deputados que conduziram o
processo de aprovação.",19,2019-12-04 10:00:00
000003005,44373,DEPUTADO DOUTOR WILSON BATISTA,18850,2019-12-04 10:00:00,"Critica o projeto de lei que dispõe sobre a cessão de direitos
creditórios de titularidade do Estado relacionados com a Companhia de
Desenvolvimento Econômico de Minas Gerais - Codemig. Comenta perigosa a
venda do que ainda deve ser recebido para acertar o presente,
ressaltando ser uma solução temporária para o pagamento de salários.
Destaca também que não existe motivo para comemorar a aprovação do
projeto e que o momento é de reflexão e uma oportunidade para o Estado
procurar corrigir seus próprios erros, procurando acertar sua
administração.",19,2019-12-04 10:00:00
000003006,44374,DEPUTADO GIL PEREIRA,7762,2019-12-04 10:00:00,"Comemora a aprovação do projeto de lei que dispõe sobre a cessão de
direitos creditórios de titularidade do Estado relacionados com a
Companhia de Desenvolvimento Econômico de Minas Gerais - Codemig.
Comenta que a aprovação dará oportunidade para regularização dos
salários do servidor público. Parabeniza o governador do Estado pelo
envio do projeto e o presidente da Assembleia Legislativa pela condução
do processo.",19,2019-12-04 10:00:00
000003007,44375,DEPUTADO BRUNO ENGLER,26148,2019-12-04 10:00:00,"Informa que votou favoravelmente ao projeto de lei que dispõe sobre a
cessão de direitos creditórios de titularidade do Estado relacionados
com a Companhia de Desenvolvimento Econômico de Minas Gerais - Codemig.
Comenta que a Assembleia Legislativa cumpriu seu dever para com os
servidores estaduais.",19,2019-12-04 10:00:00
000003008,44376,DEPUTADO CARLOS PIMENTA,7758,2019-12-04 10:00:00,"Manifesta sua opinião em relação à aprovação do projeto de lei que
dispõe sobre a cessão de direitos creditórios de titularidade do Estado
relacionados com a Companhia de Desenvolvimento Econômico de Minas
Gerais - Codemig. Comenta que a aprovação do projeto foi uma
oportunidade de corrigir um erro que vinha sendo cometido pelo governo
estadual em relação ao servidor público. Critica a atuação do governo do
Partido dos Trabalhadores - PT - em relação ao pagamento dos salários do
servidor e acrescente que o governo criou várias formas de ganhar
dinheiro e não regularizou a situação. Parabeniza o governador pelo
encaminhamento do projeto de forma democrática e o presidente da
Assembleia Legislativa pela condução do processo. Lamenta, entretanto,
que a solução do problema seja a venda do nióbio, minério imprescindível
e que deve ser muito valorizado no futuro.",19,2019-12-04 10:00:00
000003009,44377,DEPUTADO DUARTE BECHIR,17919,2019-12-04 10:00:00,"Comenta a aprovação do projeto de lei que dispõe sobre a cessão de
direitos creditórios de titularidade do Estado relacionados com a
Companhia de Desenvolvimento Econômico de Minas Gerais - Codemig - e as
dificuldades que o Estado vem enfrentando, ressaltando a necessidade de
recuperar sua condição financeira, criando um caminho definitivo para
ser administrado. Alerta que o governador Romeu Zema não tem uma base de
sustentação e solicita apoio dos deputados no enfrentamento das
dificuldades financeiras, votando os projetos e legislando em favor do
Estado.",19,2019-12-04 10:00:00
000003010,44378,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2019-12-04 10:00:00,"Comenta promessa de campanha do governador Romeu Zema, de que ele, o
vice-governador e os secretários de Estado só iriam receber salário após
estarem em dia os salários de todo o funcionalismo público. Comenta a
aprovação do projeto de lei que dispõe sobre a cessão de direitos
creditórios de titularidade do Estado relacionados com a Companhia de
Desenvolvimento Econômico de Minas Gerais - Codemig -, ressalta que
antecipação de receita apenas adia o problema de caixa do Estado.",19,2019-12-04 10:00:00
