numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000004401,42697,DEPUTADO CLEITINHO AZEVEDO,26101,2019-03-26 14:00:00,"Justifica o uso de vídeos e postagens em redes sociais como instrumento
de trabalho, uma vez que dão visibilidade às fiscalizações e cobranças
divulgadas.",19,2019-03-26 14:00:00
000004402,42698,DEPUTADA LAURA SERRANO,26165,2019-03-26 14:00:00,"Critica negociações políticas de barganha que condicionam votação de
projetos às emendas parlamentares e indicações de cargos. Defende o
plano de recuperação fiscal do governo estadual.",19,2019-03-26 14:00:00
000004403,42699,DEPUTADO CARLOS PIMENTA,7758,2019-03-26 14:00:00,"Critica a privatização da Rodovia BR–135 durante o governo de Fernando
Pimentel e a cobrança exagerada de pedágio em trecho do Norte de Minas.",19,2019-03-26 14:00:00
000004404,42700,DEPUTADO JOÃO LEITE,7766,2019-03-26 14:00:00,"Agradece apoio recebido na Comissão de Pró-Ferrovias. Critica o abandono
da rede ferroviária por empresas concessionárias, como a mineradora
Vale. Comenta a renovação das concessões ferroviárias em pauta na
Agência Nacional de Transportes Terrestres - ANTT -, destacando que o
Estado levaria prejuízo, pois os recursos provenientes da renovação do
contrato referente à estrada de ferro Vitória-Minas seriam aplicados em
malha ferroviária no Centro-Oeste do País.",19,2019-03-26 14:00:00
000004405,42701,DEPUTADA ANA PAULA SIQUEIRA,19150,2019-03-26 14:00:00,"Parabeniza D. Walmor e D. Geovane Luís pelos serviços prestados à
Arquidiocese do Município de Belo Horizonte e à sociedade. Comenta o
tema da Campanha da Fraternidade, “Fraternidade e políticas públicas”, e
manifesta preocupação com a entrega de políticas públicas a partir da
reforma administrativa apresentada pelo governador Romeu Zema, sobretudo
referentes ao ensino público, saúde e combate às drogas.",19,2019-03-26 14:00:00
000004406,42702,DEPUTADO ANDRÉ QUINTÃO,12195,2019-03-26 14:00:00,"Questiona o plano de recuperação fiscal do governo estadual e propõe
outros caminhos para a crise, como a cobrança do pacto federativo e as
compensações da Lei Kandir. Lamenta que o projeto da reforma
administrativa apresentada pelo governador Romeu Zema, que requer
análise profunda, esteja em regime de urgência. Defende a retirada de
tramitação do dispositivo que extingue a Escola de Saúde Pública do
Estado de Minas Gerais - ESP-MG - e maior aprofundamento sobre alguns
pontos da reforma administrativa.",19,2019-03-26 14:00:00
000004407,42645,DEPUTADO ROBERTO ANDRADE,22607,2019-03-21 20:00:00,"Agradece aos presentes e informa que a reunião se destina à entrega do
Título de Cidadão Honorário do Estado de Minas Gerais ao desembargador
do Tribunal de Justiça do Estado de Minas Gerais - TJMG - Marcelo
Guimarães Rodrigues. Apresenta o homenageado.",19,2019-03-21 20:00:00
000004408,42646,MARCELO GUIMARÃES RODRIGUES,,2019-03-21 20:00:00,"Agradece, na condição de homenageado, o título de Cidadão Honorário do
Estado.",19,2019-03-21 20:00:00
000004409,42653,DEPUTADO ANTONIO CARLOS ARANTES,7327,2019-03-21 20:00:00,"Comenta sobre a vida do homenageado, Marcelo Guimarães Rodrigues, e o
parabeniza pela atuação profissional.",19,2019-03-21 20:00:00
000004410,42654,DEPUTADO ANTONIO CARLOS ARANTES,7327,2019-03-21 20:00:00,Agradece a presença dos convidados e encerra a reunião.,19,2019-03-21 20:00:00
000004411,42655,DEPUTADO BARTÔ,26144,2019-03-21 14:00:00,"Comemora a prisão de mais um denunciado por corrupção e elogia a atuação
da Operação Lava Jato.",19,2019-03-21 14:00:00
000004412,42656,DEPUTADO CLEITINHO AZEVEDO,26101,2019-03-21 14:00:00,"Comemora a prisão do ex-presidente Michel Temer pela Operação Lava Jato.
Critica o fato de ex-presidentes condenados ou afastados receberem
auxílios, benefícios e aposentadorias. Critica a prática de arquivamento
de proposições nas comissões da Assembleia Legislativa e defende o
prosseguimento da tramitação até apreciação em Plenário, desde que sejam
proposições consideradas constitucionais.",19,2019-03-21 14:00:00
000004413,42657,DEPUTADA ANA PAULA SIQUEIRA,19150,2019-03-21 14:00:00,"Por ocasião do Dia Internacional Contra a Discriminação Racial, propõe
uma reflexão sobre racismo e intolerância. Apresenta estatísticas
referentes às oportunidades destinadas a negros e brancos no cenário
brasileiro. Comenta audiência pública realizada na Comissão de Prevenção
e Combate ao Uso de Crack e Outras Drogas, em que foi discutida a
reforma administrativa do Estado no que se refere à política antidrogas.",19,2019-03-21 14:00:00
000004414,42658,DEPUTADO BRUNO ENGLER,26148,2019-03-21 14:00:00,"Comemora a prisão de mais um denunciado por corrupção e elogia a atuação
da Operação Lava Jato. Parabeniza o presidente Jair Bolsonaro por seu
aniversário.",19,2019-03-21 14:00:00
000004415,42659,DEPUTADA ANDRÉIA DE JESUS,26143,2019-03-21 14:00:00,"Destaca a morte de 69 pessoas durante o massacre em Sharpeville, em
Joanesburgo, África do Sul, por ocasião do  Dia Internacional Contra a
Discriminação Racial. Defende a manutenção de políticas públicas  e ações
afirmativas que combatam a discriminação e promovam a igualdade entre as
raças.",19,2019-03-21 14:00:00
000004416,42660,DEPUTADO MAURO TRAMONTE,26111,2019-03-21 14:00:00,"Apresenta projeto de lei que pretende alterar a lei que dispõe sobre o
quantitativo de clínicas médicas e psicológicas credenciadas para
realizar exames em candidatos à permissão para dirigir veículo automotor,
à renovação da Carteira Nacional de Habilitação e à troca de categoria.",19,2019-03-21 14:00:00
000004417,42661,DEPUTADO CORONEL HENRIQUE,26149,2019-03-21 14:00:00,"Comenta a situação da segurança pública no Estado. Alerta para uma
possível evasão do pessoal militar em função da reforma da Previdência e
para o déficit de soldados habilitados. Defende o investimento em
segurança pública por parte do governo estadual.",19,2019-03-21 14:00:00
000004418,42662,DEPUTADO RAUL BELÉM,26114,2019-03-21 14:00:00,"Informa sobre a situação da segurança pública e das escolas do Município
de Araguari, quando era titular da Prefeitura. Lamenta os cortes feitos
pelo governo do Estado, principalmente em relação à segurança pública,
ressaltando cortes na Central de Penas Alternativas - Ceapa - de
Araguari. Alerta sobre a economia de investimento do Corpo de Bombeiros
Militar do Estado de Minas Gerais - CBMMG -, sobre o corte de recursos
da Polícia Civil do Estado de Minas Gerais - PCMG - e sobre o corte de
recurso das escolas. Informa sobre o abandono e o sucateamento da
Polícia Civil.",19,2019-03-21 14:00:00
000004419,42663,DEPUTADA BEATRIZ CERQUEIRA,26098,2019-03-21 14:00:00,"Comenta sobre mobilização do País para impedir a reforma da Previdência
proposta pelo governo federal. Destaca o perigo de se retirar da
Constituição as regras inerentes ao processo de aposentadoria. Questiona
a falta de diálogo do governador do Estado com o pessoal da educação e
alerta sobre o fechamento de escolas, as novas regras da educação de
tempo integral e a questão do início da educação indígena. Informa sobre
o vínculo precário da categoria dos trabalhadores da educação. Propõe
questões para o fortalecimento da previdência pública.",19,2019-03-21 14:00:00
000004420,42664,DEPUTADO DOUTOR JEAN FREIRE,22581,2019-03-21 14:00:00,"Destaca o Dia Mundial da Água e ressalta a importância da água como o
elemento mais importante à vida, criticando seu uso como fonte de lucro.
Informa sobre a construção de mineroduto para se carregar minério de
ferro do Rio Jequitinhonha, de uma região do semiárido. Informa sobre
projeto de lei que trata da administração, proteção e a conservação das
águas subterrâneas de domínio do Estado e dá outras providências.
Ressalta situações de municípios do Norte de Minas onde não chega água.
Convida os parlamentares a trabalhar a questão da água com seriedade,
fortalecendo os comitês de bacias, por exemplo. Informa sobre projeto de
lei que dispõe sobre rios de preservação permanente e dá outras
providências. Denuncia a situação do Rio Salinas.",19,2019-03-21 14:00:00
000004421,42665,DEPUTADO SARGENTO RODRIGUES,9673,2019-03-21 14:00:00,"Questiona um possível posicionamento pró-governo na comunicação
institucional da Assembleia Legislativa no decorrer do governo do
Partido dos Trabalhadores - PT. Comenta condenação do presidente do
Sindicato dos Jornalistas, Kerison Lula Lopes, em ação por danos morais.
Defende que as redes sociais da Assembleia Legislativa apresentem
conteúdo institucional e não partidário.",19,2019-03-21 14:00:00
000004422,42683,DEPUTADO ANTONIO CARLOS ARANTES,7327,2019-03-20 14:00:00,"Determina a anexação do projeto de lei que autoriza o Departamento de
Edificações e Estradas de Rodagem do Estado de Minas Gerais - DEER/MG -
a doar ao Estado imóvel destinado à construção de prédio do Fórum da
Comarca de Araçuaí ao projeto que autoriza o Poder Executivo a doar ao
Tribunal de Justiça do Estado de Minas Gerais - TJMG - imóvel para
construção do fórum da Comarca de Araçuaí, por guardarem
semelhança entre si.",19,2019-03-20 14:00:00
000004423,42685,DEPUTADO ANTONIO CARLOS ARANTES,7327,2019-03-20 14:00:00,"Comunica o arquivamento, por perda de objeto, de requerimento da
Comissão Extraordinária das Mulheres, para que fosse
formulada manifestação de apoio à deputada federal Maria do Rosário pelo
pronunciamento depreciativo contra ela proferido pelo deputado Cabo
Júlio no Plenário da Assembleia Legislativa.",19,2019-03-20 14:00:00
000004424,42684,DEPUTADO ANTONIO CARLOS ARANTES,7327,2019-03-20 14:00:00,"Comunica a redistribuição de projeto de lei que dispõe sobre a isenção
do pagamento de pedágio nas rodovias do Estado à Comissão de
Fiscalização Financeira para emissão de parecer.",19,2019-03-20 14:00:00
