numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000002501,44565,DEPUTADO AGOSTINHO PATRUS,15245,2020-03-03 14:00:00,"Registra e agradece a presença em Plenário do ex-deputado Vanderlei
Miranda.",19,2020-03-03 14:00:00
000002502,44566,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2020-03-03 14:00:00,"Declara posição favorável a projeto de lei que declara patrimônio
histórico, cultural e imaterial do Estado o Parque das Águas de Caxambu.",19,2020-03-03 14:00:00
000002503,44567,DEPUTADO ALENCAR DA SILVEIRA JR.,7752,2020-03-03 14:00:00,"Declara voto favorável a projeto de lei que confere ao Município de
Itajubá o título de Capital Mineira do Canto Coral.",19,2020-03-03 14:00:00
000002504,44568,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2020-03-03 14:00:00,"Declara voto favorável ao projeto de lei que autoriza o Poder Executivo
a doar ao Município de Caetanópolis o imóvel que especifica, salvo
emenda.",19,2020-03-03 14:00:00
000002505,44569,DEPUTADO NORALDINO JÚNIOR,22521,2020-03-03 14:00:00,"Declara voto favorável ao projeto de lei que autoriza o Poder Executivo
a doar ao Município de Bela Vista de Minas o imóvel que especifica,
salvo emenda.",19,2020-03-03 14:00:00
000002506,44570,DEPUTADO LUIZ HUMBERTO CARNEIRO,12210,2020-03-03 14:00:00,"Declara voto favorável ao projeto de lei que autoriza o Poder Executivo
a doar ao Município de Bela Vista de Minas o imóvel que especifica,
salvo emenda.",19,2020-03-03 14:00:00
000002507,44571,DEPUTADO CARLOS HENRIQUE,10002,2020-03-03 14:00:00,"Declara voto favorável ao projeto de lei que institui o Polo Moveleiro
de Ubá e região, salvo emendas.",19,2020-03-03 14:00:00
000002508,44572,DEPUTADO DELEGADO HELI GRILO,26150,2020-03-03 14:00:00,"Declara voto favorável  às Emendas nº 1 e 2 ao projeto de lei que
institui o Polo Moveleiro de Ubá e região.",19,2020-03-03 14:00:00
000002509,44573,DEPUTADO GUSTAVO SANTANA,24621,2020-03-03 14:00:00,"Declara voto favorável  às Emendas nº 1 e 2 ao projeto de lei que
institui o Polo Moveleiro de Ubá e região.",19,2020-03-03 14:00:00
000002510,44574,DEPUTADO ULYSSES GOMES,18867,2020-03-03 14:00:00,"Agradece a aprovação de projeto de lei que confere ao Município de
Itajubá o título de Capital Mineira do Canto Coral. Presta homenagem ao
professor Amaury Júnior, pelo pioneirismo em levar o canto coral para a
cidade.",19,2020-03-03 14:00:00
000002511,44575,DEPUTADO GUILHERME DA CUNHA,26134,2020-03-03 14:00:00,"Critica censura praticada pela Polícia Militar de Minas Gerais - PMMG -
à liberdade de expressão da torcida do Clube Atlético Mineiro.",19,2020-03-03 14:00:00
000002512,44576,DEPUTADO MAURO TRAMONTE,26111,2020-03-03 14:00:00,"Critica as más condições de uso e falta de manutenção nos veículos que
operam o transporte público do Município de Belo Horizonte. Questiona a
cobrança de alta tarifa tendo como contrapartida um serviço precário.",19,2020-03-03 14:00:00
000002513,44577,DEPUTADO ANDRÉ QUINTÃO,12195,2020-03-03 14:00:00,"Alerta sobre posicionamento antidemocrático do presidente Jair
Bolsonaro, que divulgou manifestação marcada para o dia 15 de março de
2020 contra o Congresso Nacional e o Supremo Tribunal Federal - STF.
Defende apuração de denúncia feita em entrevista no Programa Roda Vida,
da TV Cultura, sobre envolvimento de filho do presidente Jair Bolsonaro
em possível impalantação de uma agência brasileira de inteligência extra
oficial com o intuito de monitorar jornalistas, adversários políticos e
congressistas. Comenta os desacertos relacionados à liberação dos trios
elétricos para os blocos de Carnaval do município de Belo Horizonte.
Critica demora por parte do governador Romeu Zema na apreciação de
proposição de lei aprovada pela Assembleia Legislativa com emenda que
reajusta os valores das tabelas de vencimento básico das categorias que
menciona, ligadas à segurança pública, estendendo o reajuste às demais
categorias dos servidores públicos estaduais.",19,2020-03-03 14:00:00
000002514,44578,DEPUTADO SARGENTO RODRIGUES,9673,2020-03-03 14:00:00,"Critica aprovação da Emenda nº 2 ao projeto de lei que reajusta os
valores das tabelas de vencimento básico das categorias que menciona,
ligadas à segurança pública, que extende o reajuste às demais categorias
dos servidores públicos estaduais. Comenta episódio ocorrido durante
paralisação da Polícia Militar no Ceará, envolvendo postagem em rede
social do deputado federal Mário Heringer e tentativa de furar bloqueio
de militares grevistas do senador Cid Gomes, baleado na ocasião.",19,2020-03-03 14:00:00
000002515,44579,DEPUTADO DELEGADO HELI GRILO,26150,2020-03-03 14:00:00,"Comenta episódio ocorrido durante paralisação da Polícia Militar no
Ceará, envolvendo postagem em rede social do deputado federal Mário
Heringer e tentativa de furar bloqueio de militares grevistas do senador
Cid Gomes, baleado na ocasião. Defende a necessidade de priorização por
parte do governador Romeu Zema de obras de recuperação e manutenção das
estradas das regiões do Triângulo Mineiro e do Alto Paranaíba. Presta
homenagem ao 200º aniversário do município de Uberaba.",19,2020-03-03 14:00:00
000002516,44580,DEPUTADO CRISTIANO SILVEIRA,22523,2020-03-03 14:00:00,"Comenta repercusão em estabelecimentos públicos e privados na adequação
ao estabelecido em lei que obriga os estabelecimentos públicos e
privados de atendimento ao público, localizados no Estado, a inserir
referência a pessoa com transtorno do espectro do autismo em placa
informativa que contém o rol dos beneficiários de atendimento
prioritário. Contesta tentativa de obstrução por parte do Partido dos
Trabalhadores PT - na aprovação da Emenda nº 2 ao projeto de lei que
reajusta os valores das tabelas de vencimento básico das categorias que
menciona, ligadas à segurança pública, que extende o reajuste às demais
categorias dos servidores públicos estaduais. Parabeniza governador do
Ceará, Camilo Santana, por atuação durante greve da Polícia Militar no
Estado. Critica governo do presidente Jair Bolsonaro e falta de
manutenção do programa Bolsa Família.",19,2020-03-03 14:00:00
000002517,44581,DEPUTADO BRUNO ENGLER,26148,2020-03-03 14:00:00,"Defende governo do presidente Jair Bolsonaro e critica Partido dos
Trabalhadores - PT.",19,2020-03-03 14:00:00
000002518,44496,DEPUTADA MARÍLIA CAMPOS,12213,2020-02-19 14:00:00,"Apresenta duas informações de interesse para o Estado. A primeira se
refere ao julgamento, pelo Supremo Tribunal Federa - STF -l, da ação da
Procuradoria Geral da República - PGR - relativa à renovação das
concessões ferroviárias do Brasil. A segunda se refere à convite recebido
pela Deputada, por parte do governador Romeu Zema, para visitar a obra do
Projeto de Requalificação Urbana e Ambiental e de Controle de Cheias do
Córrego Ferrugem - PAC Ferrugem -, paralisada há algum tempo. O
governador anunciou a retomada das obras.",19,2020-02-19 14:00:00
000002519,44497,DEPUTADO PROFESSOR CLEITON,26119,2020-02-19 14:00:00,"Comemora a aprovação de projeto de lei que reajusta os valores das
tabelas de vencimento básico das categorias que menciona. Denuncia a
situação lamentável do servidor da segurança pública do município de Boa
Esperança. Informa sobrel o problema das autarquias do Estado, informando
que os servidores da Junta Comercial do Estado de Minas Gerais - JUCEMG -
não recebem aumento, recomposição ou qualquer tipo de gratificação desde
2006. Critica a postura da empresa Furnas Centrais Elétricas - Furnas -,
em relação ao nível mínimo do lago, necessário para garantir o bom
funcionamento de atividades econômicas. Declara que o nível continua
baixo porque a empresa tem priorizado manter o nível da hidrovia Tietê-
Paraná, no estado de São Paulo. Informa ter apresentado uma proposta de
emenda à Constituição - PEC - para que os Lagos de Furnas e e de Peixoto
sejam oficializados como patrimônio do Estado de Minas Gerais, o que
viabilizaria ações judiciais para impedir que as atividades econômicas do
Estado sejam prejudicadas em benefício de outras unidades da Federação.",19,2020-02-19 14:00:00
000002520,44498,DEPUTADO DUARTE BECHIR,17919,2020-02-19 14:00:00,"Destaca a importância da discussão sobre a empresa Furnas Centrais
Elétricas - Furnas. Denuncia que quando Furnas instalou um grande lago em
nome do desenvolvimento, muitas famílias foram dizimadas, terras foram
inundadas, e cidades ficaram sob a água. Considera que a empresa está
abrindo mão de sua responsabilidade de ajudar a reerguer o sul de Minas,
se esquecendo dos produtores rurais, dos apicultores, do turismo. Informa
que na atualidade está sendo feito um movimento nacional em favor de
Furnas. Declara ter feito requerimento para instalação de uma comissão
extraordinária para a realização de estudos técnicos referentes ao baixo
nível do volume de águas do Lago de Furnas e de seu impacto ambiental e
econômico. Comenta sobre o Dia Estadual de Conscientização sobre doenças
Raras, previsto em lei que institui o Dia Estadual de Conscientização
sobre Doenças Raras.",19,2020-02-19 14:00:00
000002521,44499,DEPUTADO DOUTOR JEAN FREIRE,22581,2020-02-19 14:00:00,"Defende a necessidade de maior investimento financeiro na saúde. Lamenta
a situação de uma criança de oito anos, moradora do município de Berilo,
que teve necrose no pé, ficou sete dias em um Centro de Terapia Intensiva
- CTI - e passou por duas cirurgias, em consequência da dificuldade para
obter soro antiofídico. Destaca ser um absurdo as pessoas terem que
recorrer a um agente político para conseguir recursos de saúde. Denuncia
a falta de soro antiofídico no Estado e solicita audiência pública para
debater o assunto.",19,2020-02-19 14:00:00
000002522,44500,DEPUTADA LENINHA,26153,2020-02-19 14:00:00,"Defende a declaração da inconstitucionalidade da isenção de impostos
sobre os agrotóxicos no Brasil por parte do Supremo Tribunal Federal -
STF - que aprecia a matéria, uma vez que a arrecadação de impostos seria
prejudicada em tempos de crise e a presença de venenos nos alimentos
seria incentivada, caso a isenção de impostos para a indústria de
agrotóxicos seja permitida. Declara a importância de reforçar um
movimento nacional pela qualidade dos alimentos, avançando na direção de
uma política pública que reduza a quantidade de veneno nos alimentos e na
água. Denuncia as abordagens feitas pela Polícia Militar de Minas Gerais
- PMMG - a líderes quilombolas, coagindo-os a preencher formulários sem
antes fornecer qualquer informação do objetivo da medida.Lamenta ataques
pessoais sofridos pela deputada Beatriz Cerqueira por ter apresentado,
juntamente com outros deputados, a Emenda nº 2 ao projeto de lei que
reajusta os valores das tabelas de vencimento básico das categorias que
menciona, ligadas à segurança pública, que extende o reajuste às demais
categorias dos servidores públicos estaduais.",19,2020-02-19 14:00:00
000002523,44501,DEPUTADO DELEGADO HELI GRILO,26150,2020-02-19 14:00:00,"Ressalta a necessidade da pavimentação e recuperação de estradas
localizadas no Triângulo Mineiro.",19,2020-02-19 14:00:00
000002524,44510,DEPUTADA CELISE LAVIOLA,2267,2020-02-19 10:00:00,"Declara voto favorável ao projeto de lei que dispõe sobre o Programa de
Reciclagem de Resíduos Veiculares e dá outras providências.",19,2020-02-19 10:00:00
000002525,44511,DEPUTADA ANDRÉIA DE JESUS,26143,2020-02-19 10:00:00,"Declara voto favorável ao projeto de lei que dispõe sobre o Programa de
Reciclagem de Resíduos Veiculares e dá outras providências.",19,2020-02-19 10:00:00
