numDoc,controle,autor,matricula,dataPronunciamento,resumo,legislatura,dataSessao
000001794,45268,DEPUTADO GUSTAVO VALADARES,12202,2020-06-17 09:00:00,"Defende a manutenção do veto parcial à proposição de lei que corrige os
valores das tabelas de vencimento básico das categorias que menciona.
Comenta ser legítima a defesa dos servidores públicos, porém ressalta
que o Estado não suportaria o impacto financeiro no atual momento
econômico, com a queda da arrecadação em decorrência da pandemia da
Covid-19, causada pelo coronavírus.",19,2020-06-17 09:00:00
000001795,45269,DEPUTADO AGOSTINHO PATRUS,15245,2020-06-17 09:00:00,"Pesar pelo falecimento do ex-prefeito de Uberlândia, Paulo Ferolla, e do
ex-deputado estadual constituinte, Tancredo Naves.",19,2020-06-17 09:00:00
000001796,45270,DEPUTADO SARGENTO RODRIGUES,9673,2020-06-17 09:00:00,"Lamenta a aprovação do veto parcial à proposição de lei que corrige os
valores das tabelas de vencimento básico das categorias que menciona.",19,2020-06-17 09:00:00
000001797,45271,DEPUTADA CELISE LAVIOLA,2267,2020-06-17 09:00:00,"Declara ter votado seguindo a orientação do relator ao veto parcial à
proposição de lei que corrige os valores das tabelas de vencimento
básico das categorias que menciona. Comenta que os servidores de todas
as categorias, especialmente da educação, não podem aguentar mais o
sofrimento das inconstitucionalidades. Comenta a confirmação de caso de
Covid-19, causada pelo coronavírus, de vice-diretora escolar, no
Município de Teófilo Otoni, e informa que protocolo já foi adotado.
Agradece ao governo do Estado o anúncio de novos leitos de unidades de
terapia intensiva - UTI - e de respiradores para a região Leste.",19,2020-06-17 09:00:00
000001798,45272,DEPUTADA ANDRÉIA DE JESUS,26143,2020-06-17 09:00:00,"Declara que votou pela derrubada do veto parcial à proposição de lei que
corrige os valores das tabelas de vencimento básico das categorias que
menciona. Defende emenda que estendia o benefício para outras categorias
além da dos servidores da segurança pública. Critica o governador Romeu
Zema por não estabelecer uma política remuneratória para todo o
funcionalismo público.",19,2020-06-17 09:00:00
000001799,45273,DEPUTADA MARÍLIA CAMPOS,12213,2020-06-17 09:00:00,"Manifesta solidariedade à deputada Beatriz Cerqueira em relação ao
tratamento que tem recebido do deputado Coronel Sandro. Declara que
votou pela derrubada do veto parcial à proposição de lei que corrige os
valores das tabelas de vencimento básico das categorias que menciona.",19,2020-06-17 09:00:00
000001800,45274,DEPUTADO GUILHERME DA CUNHA,26134,2020-06-17 09:00:00,"Declara que votou pela manutenção do veto parcial à proposição de lei
que corrige os valores das tabelas de vencimento básico das categorias
que menciona. Comenta suposto vício de iniciativa em relação à emenda
que estendia o benefício para outras categorias além da dos servidores
da segurança pública, e o impacto nas finanças do Estado, caso fosse
mantido o reajuste para essa categoria.",19,2020-06-17 09:00:00
000001801,45275,DEPUTADO CORONEL SANDRO,26163,2020-06-17 09:00:00,"Agradece aos deputados que votaram pela derrubada do veto parcial à
proposição de lei que corrige os valores das tabelas de vencimento
básico das categorias que menciona, lamentado a sua manutenção. Informa
que sempre será oposição ao Partido dos trabalhadores - PT - na
Assembleia Legislativa, ao comentar pronunciamentos de deputados sobre
sua fala dirigida à deputada Beatriz Cerqueira.",19,2020-06-17 09:00:00
000001809,45290,DEPUTADO CORONEL SANDRO,26163,2020-06-16 14:00:00,"Defende a derrubada do veto parcial à proposição de lei que corrige os
valores das tabelas de vencimento básico das categorias que menciona.
Critica emenda apresentada ao projeto que estendeu o benefício para
outras categorias além da dos servidores da segurança pública. Informa
que apresentou requerimento solicitando intervenção na área de saúde do
Município de Teófilo Otoni, criticando o prefeito Daniel Sucupira por
suposta incompetência na aplicação de recursos para combater a pandemia
de Covid-19, causada pelo coronavírus.",19,2020-06-16 14:00:00
000001810,45291,DEPUTADO PROFESSOR CLEITON,26119,2020-06-16 14:00:00,"Critica projeto de lei do deputado federal Orleans e Bragança (RJ) que
propõe mudar a data do feriado de Tiradentes. Denuncia que diretoras e
diretores apostilados de escolas da rede estadual teriam sido
surpreendidos com uma ação administrativa por parte do governo do Estado
que poderá reduzir seus salários. Solicita que os direitos adquiridos
não sejam retirados e que o governo do Estado aguarde a passagem da
pandemia da Covid-19, causada pelo coronavírus, para discutir uma
solução para a questão.",19,2020-06-16 14:00:00
000001811,45292,DEPUTADA ANDRÉIA DE JESUS,26143,2020-06-16 14:00:00,"Manifesta preocupação em relação ao anúncio do governo federal sobre a
suspensão do auxílio emergencial. Ressalta que considera impossível
avançar no enfrentamento à pandemia da Covid-19, causada pelo
coronavírus, sem garantir renda mínima às famílias. Critica o programa
do governo do Estado ""Minas Consciente"". Manifesta preocupação com
projeto de reforma da Previdência que o governador Romeu Zema enviará à
Assembleia Legislativa.",19,2020-06-16 14:00:00
000001812,45293,DEPUTADA LAURA SERRANO,26165,2020-06-16 14:00:00,"Parabeniza a Assembleia Legislativa e a TV Assembleia por reproduzir os
programas do Se Liga na Educação, do ensino à distância da rede estadual
pública de educação. Informa sobre emendas de sua autoria ao projeto da
Lei de Diretrizes Orçamentárias - LDO -, entre elas, destaca a que
inclui, nas prioridades da administração pública, o acesso universal aos
ensinos fundamental e médio.",19,2020-06-16 14:00:00
000001813,45294,DEPUTADO VIRGÍLIO GUIMARÃES,2698,2020-06-16 14:00:00,"Comenta sobre novo sistema de pagamentos por meio do ""WhatsApp"". Informa
sobre reunião entre economistas de países da Europa, América do Sul e
outros, em que foi discutida uma reforma tributária global, para que
haja uma reação mais rápida à crise econômica decorrente da pandemia da
Covid-19, causada pelo coronavírus. Ressalta que uma das propostas é
tributar os gigantes da comunicação virtual e os conglomerados
multinacionais.",19,2020-06-16 14:00:00
000001814,45295,DEPUTADO ARLEN SANTIAGO,9652,2020-06-16 14:00:00,"Lamenta dificuldades que a Sada Siderurgia tem enfrentado para reabrir
fábrica no Município de Várzea da Palma, devido a sentenças de inúmeras
ações trabalhistas, as quais considera exorbitantes.",19,2020-06-16 14:00:00
000001815,45296,DEPUTADO SARGENTO RODRIGUES,9673,2020-06-16 14:00:00,"Declara que votará de acordo com o relator o veto parcial à proposição
de lei que altera a lei que consolida a legislação tributária do Estado
e dá outras providências (veto ao art. 1º, que estende a isenção do
Imposto sobre Circulação de Mercadorias e Serviços - ICMS - às fontes
renováveis de energia). Solicita aos deputados a derrubada do veto
parcial à proposição de lei que corrige os valores das tabelas de
vencimento básico das categorias que menciona. Ressalta que o governador
Romeu Zema teria descumprido com sua palavra no que diz respeito ao
reajuste da segurança pública.",19,2020-06-16 14:00:00
000001816,45297,DEPUTADO ANDRÉ QUINTÃO,12195,2020-06-16 14:00:00,"Manifesta preocupação com a interiorização da pandemia da Covid-19,
causada pelo coronavírus, e o aumento da taxa de ocupação de leitos, que
já estaria em situação alarmante em 12 das 14 macrorregiões de saúde do
Estado. Solicita informações sobre o hospital de campanha do Município
de Belo Horizonte, que ainda não está em funcionamento; e cuidado com a
flexibilização e reforço das políticas sociais e econômicas para mitigar
os efeitos do isolamento.",19,2020-06-16 14:00:00
000001817,45298,DEPUTADO CRISTIANO SILVEIRA,22523,2020-06-16 14:00:00,"Solicita à Secretaria de Estado de Fazenda esclarecimentos sobre a
situação fiscal do Estado. Lamenta que o governador Romeu Zema não tenha
sancionado a lei que dispõe sobre a doação de sangue pelos cidadãos
mineiros. Denuncia possível ameaça de policiais à paisana ao presidente
do Partido dos Trabalhadores - PT - do Município de São Sebastião do
Paraíso. Critica solicitação do deputado Coronel Sandro de intervenção
no Município de Teófilo Otoni. Critica a atuação do presidente Jair
Bolsonaro na área da saúde. Manifesta preocupação com a flexibilização
do isolamento social, ressaltando que os casos de Covid-19, causada pelo
coronavírus, aumentaram onde houve flexibilização.",19,2020-06-16 14:00:00
